PARK_NAME,ADDRESS
Barrington School Park,"9306 Glenn Ln., Austin, Texas 78753"
Cherry Creek Neighborhood Park,"3403 Silk Oak Dr., Austin, Texas 78748"
Dick Nichols District Park,"8011 Beckett Rd., Austin, Texas 78749"
Gilbert-Davis Tract,"5512 Shoal Creek Blvd., Austin, Texas 78731"
Brownie Pocket Park,"10000 Brownie Dr., Austin, Texas 78753"
Houston School Park,"5506 Tallow Tree Dr., Austin, Texas 78744"
Odom School Park,"1001 Sahara Ave., Austin, Texas 78745"
St. Elmo School Park,"4312 S 1st St., Austin, Texas 78745"
Big Walnut Creek Nature Preserve,"9221 E US 290 Hwy EB, Austin, Texas 78724"
Deer Park at Maple Run Preserve,"4929 Davis Ln., Austin, Texas 78749"
Mayfield House,"3805 W 35th St., Austin, Texas 78703"
Little Stacy Neighborhood Park,"1500 Alameda Dr., Austin, Texas 78704"
Butler Shores at Town Lake Metro Park,"200 S Lamar Blvd., Austin, Texas, 78704"
Austin Recreation Center,"1301 Shoal Creek Blvd., Austin, Texas 78701"
Caswell Tennis Center,"2312 Shoal Creek Blvd., Austin, Texas 78705"
Forest North Neighborhood Park,"13320 Lyndhurst St., Austin, Texas 78729"
Heritage Oaks Neighborhood Park,"2100 Parker Ln., Austin, Texas 78741"
Metz Neighborhood Park,"2407 Canterbury St., Austin, Texzas 78702"
Nicholas Dawson Neighborhood Park,"704 W James St., Austin, Texas 78704"
Dougherty Arts Center,"1110 Barton Springs Rd., Austin, Texas 78704"
Civitan Neighborhood Park,"513 Vargas Rd., Austin, Texas 78741"
Millennium Center,"1156 Hargrave St., Austin, Texas 78702"
Roy G. Guerrero Colorado River Metro Park,"400 Grove Blvd., Austin, Texas 78741"
Boggy Creek Greenbelt,"1114 Nile St., Austin, Texas, 78702"
Colorado River Park WIldlife Sanctuary,"5827 Levander Loop, Austin, Texas 78702"
International Shores at Town Lake Metro Park,"1800 S Lakeshore Blvd., Austin, Texas 78741"
Old San Antonio Park,"12110 Old San Antonio Rd., Austin, Texas 78652"
Onion Creek Wildlife Sanctuary,"4435 E SH 71, Austin, Texas 78617"
Ron Rigsby Pocket Park,"1110 Little Elm Park, Austin, Texas 78758"
Westenfield Neighborhood Park,"2008 Enfield Rd., Austin, Texas 78703"
Waller Beach at Town Lake Metro Park,"30 East Ave., Austin, Texas 78701"
Hartford Triangle,"1605 Ethridge Ave., Austin, Texas 78703"
Holly Shores at Town Lake Metro Park,"2711 Canterbury St., Austin, Texas 78702"
Grand Meadow Neighborhood Park,"8022 Thaxton Dr., Austin, Texas 78747"
Shoal Beach at Town Lake Metro Park,"707 W Cesar Chavez St., Austin, Texas 78701"
Walnut Creek Metro Park,"12138 N Lamar Blvd, Austin, Texas 78758"
Bartholomew District Park,"5201 Berkman Dr., Austin, Texas 78723"
Heath Eiland and Morgan Moss BMX Skate Park,"1213 Shoal Creek Blvd., Austin, Texas 78701"
Mountain View Neighborhood Park,"9000 Middlebie Rd., Austin, Texas 78750"
Perry Neighborhood Park,"4800 Fairview Dr., Austin, Texas 78731"
Pickfair Pocket Park,"10904 Pickfair Dr., Austin, Texas 78750"
St. John's Pocket Park,"889 Wilks Ave., Austin, Texas 78752"
Yates Pocket Park,"6015 Felix Ave., Austin, Texas 78741"
Legend Oaks Neighborhood Park,"7724 Escarpment Blvd., Austin, Texas 78749"
Springdale Neighborhood Park,"1175 Nickols Ave., Austin, Texas 78721"
Shinoak Valley Greenbelt,"3900 Dry Creek Dr., Austin, Texas 78731"
Stratford Overlook Greenbelt,"3006 Stratford Dr., Austin, Texas 78746"
Dove Springs District Park,"5801 Ainez Dr., Austin, Texas 78744"
Jimmy Clay Golf Course,"5400 Jimmy Clay Dr., Austin, Texas 78744"
Lott Pocket Park,"1180 Curve St., Austin, Texas 78702"
Colony District Park,"7400 Loyola Ln., Austin, Texas 78724"
Tom Lasseter-South Lamar Neighborhood Park,"3000 Del Curto Rd., Austin, Texas 78704"
"Burnett ""Blondie"" Pharr Tennis Center","4201 Brookview Rd. Austin, Texas 78722"
Emma Long Metro Park,"1600 City Park Rd., Austin, Texas 78730"
Georgian Acres Neighborhood Park,"500 E Powell Ln., Austin, Texas 78753"
Lucy Read School Park,"7509 Silvercrest Dr., Austin, Texas 78757"
South Park Meadows Greenbelt,"10003 S 1st St., Austin, Texas 78748"
Oakhill Neighborhood Park,"5408 Southwest Pkwy., Austin, Texas 78735"
South Austin Neighborhood Park,"1100 Cumberland Rd., Austin, Texas 78704"
South Austin Tennis Center,"1008 Cumberland Rd., Austin, Texas 78704"
Gaines Creek Neighborhood Park,"4801 Republic of Texas Blvd., Austin, Texas 78735"
Haskell House,"1705 Waterston St., Austin, Texas 78703"
Bolm Road District Park,"6700 Bolm Rd., Austin, Texas 78725"
Harris Branch Neighborhood Park,"11200 Farmhaven Rd., Austin, Texas 78754"
South Boggy Creek Greenbelt,"7701 Circle S Rd., Austin, Texas 78745"
West Bouldin Creek Greenbelt,"1200 S 6th St., Austin, Texas 78704"
East Boggy Creek Greenbelt,"5609 Stuart Cir., Austin, Texas 78721"
Brushy Creek Greenbelt,"16533 Along Creek Cv. Austin, Texas 78717"
Barton Creek Greenbelt,"3753 S Capital of Texas Hwy., Austin, Texas 78746"
Crestland Triangle,"715 W Crestland Dr., Austin, Texas 78752"
Lower Bull Creek Greenbelt,"7806 N Capital of Texas Hwy., Austin, Texas 78731"
Parque Zaragoza Neighborhood Park,"2608 Gonzales St., Austin, Texas 78702"
Lamar Senior Activity Center,"2874 Shoal Crest Ave., Austin, Texas 78705"
Colorado/Walnut Greenbelt,"8001 Delwau Ln., Austin, Texas 78725"
J.J. Seabrook Greenbelt,"2000 Pershing Dr., Austin, Texas 78723"
Shipe Neighborhood Park,"4400 Avenue G, Austin, Texas 78751"
Andrews School Park,"2400 Lehigh Dr., Austin, Texas 78723"
Cook School Park,"1505 Cripple Creek Dr., Austin, Texas 78758"
Meadowview Triangle,"414 W Crestland Dr., Austin, Texas 78752"
Reed Neighborhood Park,"2614 Pecos St., Austin, Texas 78703"
Blunn Creek Nature Preserve,"1200 St. Edwards Dr., Austin, Texas 78704"
Austin Memorial Park Cemetery,"3000 Hancock Dr., Austin, Texas 78731"
Oakwood Cemetery,"1012 E 16th St., Austin, Texas 78702"
Knollwood Neighborhood Park,"7503 Shelton Rd., Austin, Texas 78725"
Lewis Mountain Ranch Neighborhood Park,"8206 Lewis Mountain Dr., Austin, Texas 78737"
Oertli Neighborhood Park,"12613 Blaine Rd., Austin, Texas 78753"
Springfield Neighborhood Park,"6604 E William Cannon Dr., Austin, Texas 78744"
Springwoods Neighborhood Park,"9117 Anderson Mill Rd., Austin, Texas 78729"
South Austin Senior Activity Center,"3911 Manchaca Rd., Austin, Texas 78704"
Zilker Metro Park,"2100 Barton Springs Rd., Austin, Texas 78746"
Waller Creek Greenbelt,"703 E 6th St., Austin, Texas 78701"
Williamson Creek West Greenbelt,"6310 Brush Country Rd., Austin, Texas 78749"
Longhorn Shores at Town Lake Metro Park,"60 S Pleasant Valley Rd., Austin, Texas 78741"
Ricky Guerrero Pocket Park,"2006 S 6th St., Austin, Texas 78704"
Stoney Ridge Neighborhood Park,"7000 Moores Crossing Blvd., Austin, Texas 78617"
Kennemer Pool,"1031 Payton Gin Rd., Austin, Texas 78758"
Archstone Greenbelt,"4308 Staggerbrush Rd., Austin, Texas 78749"
Eilers (Deep Eddy) Neighborhood Park,"401 Deep Eddy Ave., Austin, Texas 78703"
"Evergreen Cemetery
","3300 E 12th St., Austin, Texas 78721"
Dottie Jordan Neighborhood Park,"2803 Loyola Ln., Austin, Texas 78723"
